address,lat,long,hoursOfUsableSunlightPerYear,sqFeetAvailableForSolarPanels,recommendedSolarInstallationSizeInKW,recommendedSolarInstallationSizeInSqFt
"775 W AVENUE J12 ,LANCASTER,CA,93534",34.678295,118.14568,2161,1920,2.8,194.0
"20600 LUGANO WAY ,NORTHRIDGE,CA,91326",34.279682,118.58158,1994,1674,2.8,194.0
"1992 LA CUESTA DR ,SANTA ANA,CA,92705",33.758087,117.77996,1917,2608,3.0,211.0
"FAIRWAY HILL CIR ,VALLEY CENTER,CA,92082",33.233265,117.13932,2007,4581,1.8,123.0
"326 E 1ST ST ,HANFORD,CA,93230",36.321178,119.63988,1830,617,3.0,211.0
"2935 N WHITE AVE 3,LA VERNE,CA,91750",34.105137,117.76059,1923,1920,3.3,229.0
"5774 CHESBRO AVE ,SAN JOSE,CA,95123",37.246624,121.84248,1950,1357,2.5,176.0
"624 E 3RD ST ,BAKERSFIELD,CA,93307",35.359371,118.99776,1961,740,2.8,194.0
"555 BUTTERWOOD AVE ,SAN MARCOS,CA,92069",33.143654,117.12482,1990,1480,2.0,141.0
"2454 BRANT ST ,SAN DIEGO,CA,92101",32.730869,117.16683,1937,1269,2.0,141.0
"43842 NATHAN DR ,HEMET,CA,92544",33.749779,116.89614,2037,1744,3.3,229.0
"2621 ALBRIGHT PL ,ESCONDIDO,CA,92027",33.148811,117.04333,1973,1850,2.0,141.0
"7309 E SINGINGWOOD DR ,ANAHEIM,CA,92808",33.846176,117.75343,1900,2801,3.3,229.0
"77 WILLOW TREE LN ,IRVINE,CA,92612",33.662109,117.81175,1912,1233,3.3,229.0
"4551 KINCAID CT ,EUREKA,CA,95503",40.766472,124.1731,1521,2026,3.3,229.0
"105 TOLUCA CT ,SOLANA BEACH,CA,92075",32.995792,117.24398,1804,2978,2.0,141.0
"1864 CREST DR ,ENCINITAS,CA,92024",33.024616,117.26257,1834,2238,2.0,141.0
"514 N ARDMORE AVE ,LOS ANGELES,CA,90004",34.080353,118.30151,1953,1885,2.8,194.0
"185 W SIMPSON ST ,VENTURA,CA,93001",34.289238,119.30145,1803,652,3.5,247.0
"15243 KNAPP ST ,NORTH HILLS,CA,91343",34.238197,118.46362,1985,1850,3.0,211.0
"1225 DAVID DR ,OAKDALE,CA,95361",37.777313,120.84223,1815,2819,3.8,264.0
"7161 FLANDERS WAY ,SACRAMENTO,CA,95842",38.698544,121.34468,1745,987,3.0,211.0
"847 SAGEWOOD LN ,TRACY,CA,95377",37.699787,121.43726,,,,
"960 S FLINTRIDGE WAY ,ANAHEIM,CA,92808",33.856995,117.73282,1947,2185,3.0,211.0
"331 PROSPECT PARK ,TUSTIN,CA,92780",33.747955,117.82095,1964,13654,3.0,211.0
"7855 COWLES MOUNTAIN CT ,SAN DIEGO,CA,92119",32.801884,117.02619,,,,
