address,lat,long,hoursOfUsableSunlightPerYear,sqFeetAvailableForSolarPanels,recommendedSolarInstallationSizeInKW,recommendedSolarInstallationSizeInSqFt
"1018 N SACRAMENTO AVE ,ONTARIO,CA,91764",34.076443,117.6126,1945,2872,3.0,211.0
"642 WINDMILL RANCH RD ,ENCINITAS,CA,92024",33.048386,117.22938,1870,1920,2.0,141.0
"9013 ROSEWOOD DR ,SACRAMENTO,CA,95826",38.552559,121.36751,1848,2132,2.8,194.0
"1381 ABERDEEN CIR ,GRANITE BAY,CA,95746",38.732605,121.22429,1817,2907,4.5,317.0
"7 YORKTOWN ,IRVINE,CA,92620",33.713917,117.7711,1922,1674,3.0,211.0
"4573 DURFEE AVE ,PICO RIVERA,CA,90660",34.006241,118.07741,1820,3682,3.5,247.0
"29615 HWY 89 ,CANYON DAM,CA,95923",40.17115,121.0726,,,,
"21252 HILLSDALE LN ,HUNTINGTON BEACH,CA,92646",33.654751,117.96618,1887,1797,3.3,229.0
"25811 STATE HIGHWAY 74 ,PERRIS,CA,92570",33.745407,117.27906,1917,335,4.0,282.0
"707 DISPLAY WAY ,,CA,95838",38.64016,121.44952,1774,33651,3.0,211.0
"1000 DANIEL BURNHAM CT 905,SAN FRANCISCO,CA,94109",37.786755,122.42249,1651,13725,3.8,264.0
"5154 RENAISSANCE AVE ,SAN DIEGO,CA,92122",32.866634,117.20589,1903,4017,2.0,141.0
"65205 XENO RD ,,CA,92364",35.426723,115.6416,,,,
"1503 N CENTRAL CT ,VISALIA,CA,93291",36.342941,119.31152,1924,1779,2.8,194.0
"141 WALKER VALLEY RD ,CASTROVILLE,CA,95012",36.812702,121.71217,,,,
"11200 ARMINTA ST ,SUN VALLEY,CA,91352",34.213345,118.37468,2007,1903,2.8,194.0
"1186 MAYA ST ,PARLIER,CA,93648",36.60553,119.5356,1876,1233,2.8,194.0
"380 CALLE ASTA ,MORGAN HILL,CA,95037",37.132504,121.6496,,,,
"3086 45TH ST ,SAN DIEGO,CA,92105",32.738216,117.09793,1995,511,2.0,141.0
"1635 43RD AVE ,SAN FRANCISCO,CA,94122",37.756176,122.50257,1680,810,3.8,264.0
"3219 LA PLATA AVE ,HACIENDA HEIGHTS,CA,91745",33.982559,117.98244,1850,2044,3.3,229.0
"5914 CARELL AVE ,AGOURA HILLS,CA,91301",34.159218,118.75291,1925,1850,3.0,211.0
"13560 DOMART AVE ,NORWALK,CA,90650",33.909039,118.10708,1944,2008,3.0,211.0
"15475 HUFF CT ,FONTANA,CA,92335",34.091625,117.46744,1977,2467,3.3,229.0
"317 E EMERSON AVE ,MONTEREY PARK,CA,91755",34.066319,118.11848,1808,687,3.5,247.0
"10441 HARVEST VIEW WAY ,SAN DIEGO,CA,92128",32.947498,117.1022,1904,1903,2.0,141.0
"47 WONDERLAND ,IRVINE,CA,92620",33.699211,117.76213,1930,2784,3.0,211.0
"3160 38TH AVE ,SACRAMENTO,CA,95824",38.518089,121.47056,1791,2590,3.0,211.0
"7162 RUBIDOUX AVE ,YUCCA VALLEY,CA,92284",34.122589,116.39096,,,,
"5790 MARENGO AVE ,LA MESA,CA,91942",32.783947,117.02547,1995,1656,2.0,141.0
"255 W 5TH ST 1104,SAN PEDRO,CA,90731",33.739697,118.28243,1762,17284,3.3,229.0
"15056 NANTICOKE RD ,APPLE VALLEY,CA,92307",34.52515,117.18185,2025,282,3.0,211.0
"4646 FOX GLEN AVE ,LA VERNE,CA,91750",34.12244,117.7906,1934,2378,3.3,229.0
"351 W IMPERIAL HWY ,LA HABRA,CA,90631",33.917465,117.94901,1855,4845,3.3,229.0
"27931 ENCANTO ,MISSION VIEJO,CA,92692",33.605274,117.64304,1849,1409,3.3,229.0
"140 S DOLLIVER ST 203,PISMO BEACH,CA,93449",35.136604,120.63482,1948,1850,2.5,176.0
"17341 RANCHERO RD ,RIVERSIDE,CA,92504",33.89011,117.36341,1817,3753,3.3,229.0
"951 GEORGIA ST A-C,IMPERIAL BEACH,CA,91932",32.579868,117.10426,1935,1691,2.0,141.0
"313 DIAMANTE WAY ,OCEANSIDE,CA,92056",33.183636,117.31145,1853,969,2.0,141.0
"3016 PITNER CT ,SAN JOSE,CA,95148",37.324677,121.78783,1901,2185,2.8,194.0
"35570 PANORAMA DR ,YUCAIPA,CA,92399",34.043545,117.02857,2069,2097,2.8,194.0
"1383 KILCHOAN CT ,SAN JOSE,CA,95122",37.326073,121.84081,1884,1515,2.8,194.0
"13616 NORRIS AVE ,SYLMAR,CA,91342",34.317921,118.47388,1995,2660,2.8,194.0
"150 THE PROMENADE N 212,LONG BEACH,CA,90802",33.768646,118.19057,1829,10976,3.3,229.0
"8 CALLE CANGREJO ,SAN CLEMENTE,CA,92673",33.459164,117.58356,1909,1568,3.3,229.0
"551 W WARWICK AVE ,CLOVIS,CA,93619",36.861618,119.72359,1909,1797,2.8,194.0
"100 OCEAN VIS 119,NEWPORT BEACH,CA,92660",33.616207,117.88499,1799,4686,3.3,229.0
"10728 PERSHING ST ,ADELANTO,CA,92301",34.519348,117.42932,2255,1727,2.5,176.0
"11861 MAC ST ,GARDEN GROVE,CA,92841",33.790226,117.97928,1943,1744,3.0,211.0
"1147 CAITLIN AVE ,LANCASTER,CA,93535",34.682877,118.10912,2136,1815,3.0,211.0
"56523 DESERT CACTUS DR 4,THERMAL,CA,92274",33.6395,116.13184,,,,
"2438 E 3RD ST ,LONG BEACH,CA,90814",33.767944,118.16286,1879,1533,3.3,229.0
